Frequency,S11_Real,S11_Imaginary,
822863000,-0.2963000136,0.9412457718,
828862000,-0.266543521,0.950432788,
834861000,-0.2362799306,0.958445358,
840860000,-0.2059686492,0.9655306581,
846859000,-0.1742708842,0.9718759756,
852858000,-0.1440092939,0.9769667764,
858857000,-0.1128348689,0.98142814,
864856000,-0.08112166833,0.983901614,
870855000,-0.04932595634,0.9867430168,
876854000,-0.01752818607,0.988201965,
882853000,0.01302665786,0.9882732873,
888852000,0.04490442595,0.9868423216,
894851000,0.07619456858,0.9854391716,
900850000,0.1077729335,0.9834703526,
906849000,0.1396676091,0.9788406474,
912848000,0.1710544768,0.9738551795,
918847000,0.2013961365,0.967584864,
924846000,0.2325928093,0.9609793693,
930845000,0.2632612259,0.9523950807,
936844000,0.2932011088,0.9433698244,
942843000,0.3230722352,0.9335931717,
948842000,0.3526117475,0.9232506818,
954841000,0.3821675348,0.9114310319,
960840000,0.4122484343,0.8988886034,
966839000,0.4402329108,0.8854008372,
972838000,0.4684156201,0.8714329614,
978837000,0.4961261347,0.8555739551,
984836000,0.522819862,0.8383978841,
990835000,0.5494210626,0.8213160174,
996834000,0.575618973,0.8037335648,
1002833000,0.600918846,0.7844142876,
1008832000,0.6258451994,0.7646328588,
1014831000,0.6497435281,0.7449972378,
1020830000,0.6722970323,0.7235114621,
1026829000,0.6955951188,0.7011201452,
1032828000,0.7177812561,0.6785407832,
1038827000,0.7396573601,0.6545635293,
1044826000,0.7594814766,0.6308176517,
1050825000,0.7776066816,0.6072027814,
1056824000,0.7982224288,0.5800378591,
1062823000,0.8159248813,0.5539003783,
1068822000,0.8332798365,0.5271049576,
1074821000,0.849967971,0.5005074111,
1080820000,0.8647938215,0.4718830304,
1086819000,0.8792819411,0.4437659168,
1092818000,0.8925440583,0.4145097742,
1098817000,0.9049854911,0.3861454834,
1104816000,0.916617332,0.3564832304,
1110815000,0.9273376167,0.3264124458,
1116814000,0.9368984959,0.2962775549,
1122813000,0.9456999401,0.2658800682,
1128812000,0.9534229504,0.2347472409,
1134811000,0.960121297,0.2038886711,
1140810000,0.9660048471,0.1725249737,
1146809000,0.9706793909,0.1414041472,
1152808000,0.9744715424,0.1101408291,
1158807000,0.9772349538,0.07826519567,
1164806000,0.9789393559,0.04685937014,
1170805000,0.9795532028,0.01510464692,
1176804000,0.9792382223,-0.01627045962,
1182803000,0.977767539,-0.04812601139,
1188802000,0.9749673004,-0.08008205637,
1194801000,0.9715503245,-0.1115774529,
1200800000,0.9667732012,-0.1430841021,
1206799000,0.9610622422,-0.1740165557,
1212798000,0.9540137712,-0.2050169281,
1218797000,0.94666178,-0.2361549512,
1224796000,0.9377161497,-0.2661213267,
1230795000,0.9282705933,-0.2962889389,
1236794000,0.9173691058,-0.3258749388,
1242793000,0.9056224026,-0.3555049575,
1248792000,0.8928681947,-0.3842788501,
1254791000,0.8796619094,-0.4130798018,
1260790000,0.8653290313,-0.4416507255,
1266789000,0.8494248111,-0.468991117,
1272788000,0.8335155871,-0.4957932344,
1278787000,0.8171428291,-0.5223231048,
1284786000,0.7984120217,-0.5486441266,
1290785000,0.7804437205,-0.5737705505,
1296784000,0.7606827922,-0.5989404388,
1302783000,0.7406192367,-0.6234732553,
1308782000,0.7195896167,-0.6474782634,
1314781000,0.6990115432,-0.6694505497,
1320780000,0.6766141132,-0.6914960133,
1326779000,0.6524502269,-0.7132141549,
1332778000,0.6287703714,-0.7341985075,
1338777000,0.6047982481,-0.7538759337,
1344776000,0.5800377778,-0.7726401582,
1350775000,0.5539984424,-0.7916110401,
1356774000,0.5278889755,-0.8090996784,
1362773000,0.5014509237,-0.8258965265,
1368772000,0.4740928352,-0.8412068774,
1374771000,0.4462008074,-0.8568704548,
1380770000,0.4183548163,-0.869822585,
1386769000,0.3895290312,-0.8827207323,
1392768000,0.3602089137,-0.8946909933,
1398767000,0.3319253161,-0.9051390728,
1404766000,0.3020122542,-0.9162565022,
1410765000,0.2718404678,-0.9251843631,
1416764000,0.2416919036,-0.9332780226,
1422763000,0.2114469155,-0.9412491959,
1428762000,0.1800308991,-0.9471366248,
1434761000,0.1491677124,-0.9524226965,
1440760000,0.1184042935,-0.9567007502,
1446759000,0.08725606153,-0.9597656396,
1452758000,0.05554173167,-0.9635772282,
1458757000,0.02404947703,-0.9651689416,
1464756000,-0.007332515303,-0.9650184332,
1470755000,-0.03916796417,-0.9634642001,
1476754000,-0.07039012761,-0.9616515034,
1482753000,-0.100735772,-0.9585710487,
1488752000,-0.1317368362,-0.9547464919,
1494751000,-0.162441591,-0.9501174242,
1500750000,-0.1923228207,-0.9460552912,
1506749000,-0.2235634655,-0.9387147201,
1512748000,-0.2544695926,-0.9312491524,
1518747000,-0.2843206013,-0.9228397045,
1524746000,-0.3136463824,-0.9130717561,
1530745000,-0.3435779475,-0.9027310419,
1536744000,-0.3722941681,-0.8909620424,
1542743000,-0.4005387522,-0.8785101078,
1548742000,-0.4289579997,-0.8650858115,
1554741000,-0.4563553915,-0.8506242284,
1560740000,-0.4838506908,-0.8355200352,
1566739000,-0.5102292477,-0.8190616715,
1572738000,-0.5365058558,-0.8024015454,
1578737000,-0.5616825857,-0.7848855024,
1584736000,-0.5865006407,-0.7660247093,
1590735000,-0.6108377296,-0.7469963367,
1596734000,-0.6351339733,-0.7264110201,
1602733000,-0.6581050629,-0.705448198,
1608732000,-0.6801099057,-0.6843953257,
1614731000,-0.7013496093,-0.6612069125,
1620730000,-0.7227462636,-0.6385589137,
1626729000,-0.7419690961,-0.6152528062,
1632728000,-0.7612914307,-0.5908917164,
1638727000,-0.7799476969,-0.5655241744,
1644726000,-0.7978871705,-0.5408969128,
1650725000,-0.8130589631,-0.513856456,
1656724000,-0.8306709094,-0.4889185713,
1662723000,-0.8455247775,-0.4607406653,
1668722000,-0.8612059423,-0.4344757893,
1674721000,-0.873227248,-0.4064570355,
1680720000,-0.886630887,-0.377576913,
1686719000,-0.8977901711,-0.3492175187,
1692718000,-0.9083825339,-0.3212244177,
1698717000,-0.9188769165,-0.2912708706,
1704716000,-0.9274133811,-0.261541981,
1710715000,-0.935198331,-0.2318175842,
1716714000,-0.9419769131,-0.2022953995,
1722713000,-0.9482199806,-0.1714592792,
1728712000,-0.9521156297,-0.1408593021,
1734711000,-0.9583507308,-0.1104316256,
1740710000,-0.960916446,-0.07938971954,
1746709000,-0.9623208255,-0.04816648118,
1752708000,-0.9647102092,-0.01838634914,
