Frequency,S11_Real,S11_Imaginary,
396934000,0.5647851237,0.5283208291,
402933000,0.7158252577,0.2851502349,
408932000,0.7687807316,0.003219883168,
414931000,0.7158231686,-0.2785367324,
420930000,0.5646462204,-0.521180116,
426929000,0.3371301663,-0.6918798699,
432928000,0.06474353764,-0.7682636454,
438927000,-0.2142655789,-0.742293858,
444926000,-0.4641992077,-0.6192249422,
450925000,-0.6527697464,-0.4167359811,
456924000,-0.7566760626,-0.1622996047,
462923000,-0.7639143037,0.1109441432,
468922000,-0.6751078266,0.3686728825,
474921000,-0.5012152506,0.578586467,
480920000,-0.2636550759,0.7136325492,
486919000,0.006749508394,0.7560250975,
492918000,0.2755430609,0.6986950219,
498917000,0.5073288881,0.5477172844,
504916000,0.6685480623,0.3229326716,
510915000,0.7379080307,0.05391862358,
516914000,0.7041064583,-0.2211055599,
522913000,0.5732993124,-0.4643368704,
528912000,0.3639687193,-0.6423349894,
534911000,0.1068257602,-0.7321094014,
540910000,-0.1630732546,-0.7238274528,
546909000,-0.4099090897,-0.6202388764,
552908000,-0.6024655308,-0.4377168109,
558907000,-0.7174293104,-0.2008818427,
564906000,-0.7417101047,0.0597478991,
570905000,-0.6729074915,0.3112739937,
576904000,-0.5205676595,0.5232294459,
582903000,-0.3028744976,0.6681564232,
588902000,-0.04646426409,0.7263940235,
594901000,0.2154215857,0.688708085,
600900000,0.4471260308,0.5584271717,
606899000,0.6162272311,0.3520862335,
612898000,0.6984556215,0.09670750151,
618897000,0.6804952042,-0.1703019561,
624896000,0.5659838852,-0.4123897352,
630895000,0.3718703859,-0.5941670699,
636894000,0.1262420866,-0.6916451225,
642893000,-0.1348545341,-0.6929111769,
648892000,-0.3765310407,-0.6008955924,
654891000,-0.5676869503,-0.4310292104,
660890000,-0.6846198357,-0.2065462254,
666889000,-0.7153117344,0.04350252808,
672888000,-0.6569709386,0.2869136494,
678887000,-0.5173291612,0.4947787492,
684886000,-0.3136849377,0.6402838239,
690885000,-0.07111604864,0.7054706917,
696884000,0.180560984,0.680228122,
702883000,0.4075531904,0.5662711142,
708882000,0.5791961932,0.3775126714,
714881000,0.6721285542,0.138046439,
720880000,0.671151132,-0.1189682304,
726879000,0.5764394681,-0.3585150221,
732878000,0.4014208919,-0.545776471,
738877000,0.1711824117,-0.6561192601,
744876000,-0.08138181421,-0.6752542994,
750875000,-0.3219378627,-0.6026851731,
756874000,-0.5192848688,-0.4498868422,
762873000,-0.6481476778,-0.2383247459,
768872000,-0.6929894834,0.003460221706,
774871000,-0.6502973532,0.2447175647,
780870000,-0.5250346089,0.4547963939,
786869000,-0.3343132974,0.607275692,
792868000,-0.1015760166,0.6826300828,
798867000,0.1433768488,0.6703700815,
804866000,0.3686074752,0.5704516615,
810865000,0.5438238682,0.3971068609,
816864000,0.6447528871,0.170366976,
822863000,0.656777336,-0.07771781826,
828862000,0.5774345901,-0.3122260146,
834861000,0.4187888196,-0.5012297108,
840860000,0.2036955482,-0.6192099655,
846859000,-0.03744308348,-0.6510258498,
852858000,-0.2721788536,-0.5940327112,
858857000,-0.468888662,-0.4588091613,
864856000,-0.6035976949,-0.2630320876,
870855000,-0.6599991163,-0.03385217493,
876854000,-0.6314238376,0.1988495983,
882853000,-0.5234955551,0.405707334,
888852000,-0.3496906357,0.5614964996,
894851000,-0.1316958957,0.6456756752,
900850000,0.1032918428,0.6469390411,
906849000,0.3231040227,0.5647953575,
912848000,0.4997166991,0.4084651192,
918847000,0.6081636351,0.1985040127,
924846000,0.6336659572,-0.03769970911,
930845000,0.5720236469,-0.2667338195,
936844000,0.431758314,-0.4577360685,
942843000,0.2322058314,-0.5844615589,
948842000,0.001024227865,-0.6299303355,
954841000,-0.2294338544,-0.5891636568,
960840000,-0.4286161712,-0.4695166178,
966839000,-0.5708155,-0.2874207278,
972838000,-0.6388112113,-0.0681676991,
978837000,-0.6251553797,0.1602667295,
984836000,-0.5314793818,0.3689464965,
990835000,-0.3708391185,0.5309136237,
996834000,-0.1629284746,0.6255228014,
1002833000,0.06512598046,0.641203091,
1008832000,0.2848100065,0.5747523574,
1014831000,0.4669866279,0.4340350363,
1020830000,0.5875089647,0.2365828773,
1026829000,0.6297094979,0.008184911699,
1032828000,0.5872013114,-0.2201072175,
1038827000,0.4653156673,-0.4179153418,
1044826000,0.2813704027,-0.5587447983,
1050825000,0.05909487709,-0.6233110854,
1056824000,-0.1705562737,-0.6050807048,
1062823000,-0.3772298747,-0.506188531,
1068822000,-0.5345903892,-0.3413367379,
1074821000,-0.6233300635,-0.1321573042,
1080820000,-0.6317925576,0.09449894223,
1086819000,-0.5596576066,0.3087349107,
1092818000,-0.4165465517,0.4842448551,
1098817000,-0.2200875366,0.596303784,
1104816000,0.003404786184,0.6314342071,
1110815000,0.2256727043,0.5834770699,
1116814000,0.4152514227,0.4583944197,
1122813000,0.5467150748,0.2728761987,
1128812000,0.6019567489,0.05279160778,
1134811000,0.5731423442,-0.1711666264,
1140810000,0.4654244138,-0.3683684884,
1146809000,0.2948113603,-0.5120197389,
1152808000,0.0855537445,-0.5832846654,
1158807000,-0.1335832313,-0.575146998,
1164806000,-0.3332301355,-0.4893970188,
1170805000,-0.4879141246,-0.3396169856,
1176804000,-0.5787244997,-0.1459622765,
1182803000,-0.5954635308,0.06624151387,
1188802000,-0.5364966073,0.2703184616,
1194801000,-0.4103608076,0.4397393389,
1200800000,-0.2313031667,0.5550233846,
1206799000,-0.02252285565,0.5980802482,
1212798000,0.1891988642,0.5641502243,
1218797000,0.3749778073,0.4566837002,
1224796000,0.5106760918,0.2890794419,
1230795000,0.5775363675,0.08347310915,
1236794000,0.5652873605,-0.1329102499,
1242793000,0.4760856029,-0.3305904131,
1248792000,0.3219558708,-0.4829844283,
1254791000,0.1241501272,-0.5691378719,
1260790000,-0.09042968954,-0.5786241071,
1266789000,-0.2937034433,-0.5113993337,
1272788000,-0.4589075337,-0.3773085608,
1278787000,-0.565938228,-0.1941467661,
1284786000,-0.6018543538,0.01405083743,
1290785000,-0.5614457915,0.2208488485,
1296784000,-0.4508391006,0.4011901178,
1302783000,-0.2832687543,0.5305714083,
1308782000,-0.08041545109,0.5915309918,
1314781000,0.1319041929,0.5764346725,
1320780000,0.3250450129,0.4849909077,
1326779000,0.4726917062,0.3310326778,
1332778000,0.5544254471,0.1335199267,
1338777000,0.5594015483,-0.0796714758,
1344776000,0.4869825757,-0.2798363351,
1350775000,0.3484000699,-0.4399210692,
1356774000,0.1619397955,-0.5384491468,
1362773000,-0.04607557938,-0.563894719,
1368772000,-0.2479871444,-0.5140584051,
1374771000,-0.4185730592,-0.3969299773,
1380770000,-0.5366786898,-0.2281625091,
1386769000,-0.5876474768,-0.02898810438,
1392768000,-0.5656829885,0.1756691727,
1398767000,-0.4725858507,0.3587064611,
1404766000,-0.3201853835,0.4977797636,
1410765000,-0.1276898795,0.5749081742,
1416764000,0.08061852949,0.5775562386,
1422763000,0.2767813551,0.5049151089,
1428762000,0.4337413264,0.3649651999,
1434761000,0.5290113644,0.1768937024,
1440760000,0.5483555107,-0.0320206559,
1446759000,0.4895361553,-0.2334516319,
1452758000,0.3625246592,-0.3988069451,
1458757000,0.185484687,-0.504593007,
1464756000,-0.0162933452,-0.538719981,
1470755000,-0.2149599825,-0.4983000949,
1476754000,-0.3841293163,-0.3912560096,
1482753000,-0.5033448429,-0.2325999398,
1488752000,-0.5592153154,-0.04382732209,
1494751000,-0.5446618491,0.1522496821,
1500750000,-0.4628595934,0.3325527498,
1506749000,-0.3243633512,0.4691365515,
1512748000,-0.1452765919,0.5507077199,
1518747000,0.05218938294,0.5634626002,
1524746000,0.2431002882,0.5049573791,
1530745000,0.4008172627,0.3810349246,
1536744000,0.5034167617,0.2078537109,
1542743000,0.5360335952,0.008713900982,
1548742000,0.4938232888,-0.1888940931,
1554741000,0.3818142663,-0.3564097642,
1560740000,0.2171442397,-0.4716680592,
1566739000,0.02365140067,-0.5180747478,
1572738000,-0.1721109234,-0.4917386189,
1578737000,-0.3434301161,-0.3976676475,
1584736000,-0.4691148933,-0.2497866003,
1590735000,-0.5341378213,-0.06850336581,
1596734000,-0.5302637936,0.1229737648,
1602733000,-0.4603075445,0.3003856763,
1608732000,-0.3334080095,0.4411680184,
1614731000,-0.1647224993,0.5292094041,
1620730000,0.02566421262,0.552431456,
1626729000,0.2119372991,0.5073449883,
1632728000,0.3708912812,0.398068664,
1638727000,0.480482072,0.2388498367,
1644726000,0.5267529218,0.04977273778,
1650725000,0.5001369286,-0.1424102685,
1656724000,0.4059188041,-0.3127202773,
1662723000,0.256349151,-0.4362709751,
1668722000,0.07296202301,-0.4964003304,
1674721000,-0.1184442844,-0.4861444492,
1680720000,-0.2919720544,-0.407571078,
1686719000,-0.4241105892,-0.2729015914,
1692718000,-0.4989939595,-0.1010613062,
1698717000,-0.5076759887,0.08499929194,
1704716000,-0.4500780429,0.2612069028,
1710715000,-0.3335970372,0.4046436874,
1716714000,-0.17396969,0.4983847206,
1722713000,0.008294111798,0.5289952425,
1728712000,0.1899494133,0.493080873,
1734711000,0.3473512868,0.394424726,
1740710000,0.4590033351,0.2459549538,
1746709000,0.5108683129,0.06724078505,
1752708000,0.4949129297,-0.1192167733,
1758707000,0.4120606839,-0.2863740362,
1764706000,0.2754385269,-0.4121926575,
1770705000,0.1026612384,-0.479592239,
1776704000,-0.08130999484,-0.480528531,
1782703000,-0.2532300901,-0.4163049398,
1788702000,-0.3884106213,-0.2949890323,
1794701000,-0.4715363333,-0.1345354366,
1800700000,-0.492118312,0.0439287148,
1806699000,-0.448318197,0.2171449013,
1812698000,-0.3468924495,0.363032221,
1818697000,-0.2010512055,0.4639634349,
1824696000,-0.02822123574,0.5078965701,
1830695000,0.1492182335,0.4876645526,
1836694000,0.3085614944,0.4062660688,
1842693000,0.4301020112,0.2725170451,
1848692000,0.4961867172,0.1038378959,
1854691000,0.4983145063,-0.07783356746,
1860690000,0.434511862,-0.2490518511,
1866689000,0.3135103605,-0.3866722819,
1872688000,0.1506340098,-0.4718033088,
1878687000,-0.03119056253,-0.4922475828,
1884686000,-0.2092268435,-0.447603359,
1890685000,-0.3582608092,-0.3413456545,
1896684000,-0.4594827468,-0.1886413632,
1902683000,-0.4984602278,-0.01196705953,
1908682000,-0.471276123,0.1667149249,
1914681000,-0.3827949935,0.3233096893,
1920680000,-0.2448235547,0.4376594932,
1926679000,-0.07541582137,0.4949421914,
1932678000,0.1026133863,0.4881066754,
1938677000,0.2662731738,0.4175055511,
1944676000,0.3935220004,0.2940852964,
1950675000,0.4677736446,0.133222423,
1956674000,0.4786322999,-0.04282269154,
1962673000,0.4258570393,-0.2106622916,
1968672000,0.3166003356,-0.3479892765,
1974671000,0.1659207041,-0.4363218653,
1980670000,-0.005812719603,-0.4649712968,
1986669000,-0.1754161292,-0.430610126,
1992668000,-0.320978233,-0.3376779025,
1998667000,-0.4237178366,-0.2001269906,
2004666000,-0.4703200182,-0.03576279082,
2010665000,-0.4546916458,0.1347513003,
2016664000,-0.3797669237,0.2874302823,
2022663000,-0.2552147832,0.4034642984,
2028662000,-0.09690883469,0.4668752983,
2034661000,0.07305063754,0.4693383304,
2040660000,0.2325806865,0.4113991145,
2046659000,0.361041035,0.2994845688,
2052658000,0.4399091583,0.1482058092,
2058657000,0.4587186132,-0.02005088849,
2064656000,0.4157164844,-0.1835908718,
2070655000,0.3174191793,-0.3199484054,
2076654000,0.1775128673,-0.4121148579,
2082653000,0.01507212335,-0.4490231194,
2088652000,-0.1496764746,-0.4257263638,
2094651000,-0.2946621483,-0.3470311928,
2100650000,-0.4025379212,-0.22259312,
2106649000,-0.4604361484,-0.06799609726,
2112648000,-0.4608489178,0.09639096079,
2118647000,-0.4031722739,0.2511135206,
2124646000,-0.294597234,0.3761725576,
2130645000,-0.148320022,0.4549588727,
2136644000,0.01797347704,0.4776846965,
2142643000,0.1830161431,0.4390382541,
2148642000,0.3219921919,0.3428997365,
2154641000,0.4180371275,0.2020591418,
2160640000,0.4553548395,0.03604679105,
2166639000,0.4291258119,-0.1315795436,
2172638000,0.343082912,-0.2768341405,
2178637000,0.2107396309,-0.3805487842,
2184636000,0.05155070071,-0.428559139,
2190635000,-0.1126362845,-0.4158657789,
2196634000,-0.2599739966,-0.3458659469,
2202633000,-0.3716017028,-0.2289672266,
2208632000,-0.4340625406,-0.0813079616,
2214631000,-0.4404525425,0.07790126985,
2220630000,-0.3908966253,0.2285672695,
2226629000,-0.2912581772,0.3522346171,
2232628000,-0.1550022535,0.4334091109,
2238627000,0.001411127605,0.4612505654,
2244626000,0.1582996737,0.4318965258,
2250625000,0.2953272965,0.3482488582,
2256624000,0.3931567499,0.220678807,
2262623000,0.4381490532,0.06561529592,
2268622000,0.4234324804,-0.09501264167,
2274621000,0.3508063363,-0.2389993695,
2280620000,0.2302290879,-0.3460694421,
2286619000,0.0804569266,-0.4013663484,
2292618000,-0.07845308577,-0.3979306763,
2298617000,-0.2234813316,-0.3378127687,
2304616000,-0.3360977642,-0.2299610475,
2310615000,-0.4017009454,-0.09037508644,
2316614000,-0.4132680915,0.0622649729,
2322613000,-0.3702620762,0.2075453505,
2328612000,-0.2797366434,0.3290952789,
2334611000,-0.1526242466,0.4107497893,
2340610000,-0.005554517634,0.4417371638,
2346609000,0.1438171717,0.4194656726,
2352608000,0.2762949745,0.3468795817,
2358607000,0.374253917,0.2316289134,
2364606000,0.425370356,0.08843476582,
2370605000,0.4217419514,-0.06416631241,
2376604000,0.3637028756,-0.2056209432,
2382603000,0.258116294,-0.3160411945,
2388602000,0.1198133008,-0.3813551152,
2394601000,-0.03239291091,-0.3913312929,
2400600000,-0.177052522,-0.3457380198,
2406599000,-0.2943709197,-0.2509382815,
2412598000,-0.3682744281,-0.1216902799,
2418597000,-0.3912760169,0.02464159703,
2424596000,-0.3600428853,0.1688337308,
2430595000,-0.2806380935,0.2902483937,
2436594000,-0.1635189776,0.3759995534,
2442593000,-0.02530920037,0.4138470618,
2448592000,0.1171090239,0.4004799432,
2454591000,0.2458426476,0.3379632936,
2460590000,0.3437823591,0.2342642708,
2466589000,0.3982627024,0.1019603417,
2472588000,0.4018686222,-0.04080490329,
2478587000,0.3537317654,-0.1751238538,
2484586000,0.2606253794,-0.2833743753,
2490585000,0.1338990968,-0.3501110054,
2496584000,-0.007277269407,-0.3660681146,
2502583000,-0.1441861613,-0.3293932569,
2508582000,-0.2580254953,-0.2453202704,
2514581000,-0.3319543274,-0.127449773,
2520580000,-0.3590883452,0.007979035694,
2526579000,-0.3351940682,0.144214923,
2532578000,-0.2650260838,0.260716082,
2538577000,-0.1587385756,0.3465193117,
2544576000,-0.02993166336,0.3870978558,
2550575000,0.1045156397,0.3811141247,
2556574000,0.2286067178,0.3285486554,
2562573000,0.3268695915,0.2352886577,
2568572000,0.3863149527,0.1136735863,
2574571000,0.4001224258,-0.02202314304,
2580570000,0.3652021214,-0.154968949,
2586569000,0.28419695,-0.2669484685,
2592568000,0.1687887024,-0.3438182938,
2598567000,0.03231173831,-0.3732942031,
2604566000,-0.1059842987,-0.3513207235,
2610565000,-0.226773384,-0.2804224482,
2616564000,-0.3128715062,-0.1701198668,
2622563000,-0.3523313423,-0.03717624331,
2628562000,-0.3397456521,0.1001275015,
2634561000,-0.2807190383,0.2215071252,
2640560000,-0.1795537216,0.3123750105,
2646559000,-0.05654873787,0.3607401824,
2652558000,0.07479197957,0.3615464123,
2658557000,0.1972618749,0.3160080853,
2664556000,0.2952063689,0.2308886876,
2670555000,0.3570685173,0.1176120442,
2676554000,0.3756781249,-0.01012036161,
2682553000,0.3486940563,-0.1364114683,
2688552000,0.2789048144,-0.2460862182,
2694551000,0.1752504097,-0.3247986461,
2700550000,0.04892060028,-0.3628160168,
2706549000,-0.08326191817,-0.3532080337,
2712548000,-0.2041486404,-0.2974562547,
2718547000,-0.297872466,-0.2021813215,
2724546000,-0.3503277209,-0.0778717771,
2730545000,-0.3554613015,0.05682767822,
2736544000,-0.3105185956,0.1838444406,
2742543000,-0.2244468421,0.2857602446,
2748542000,-0.1070121396,0.3488898802,
2754541000,0.02361119164,0.365628509,
2760540000,0.1513163906,0.3341863815,
2766539000,0.2578092265,0.2594650937,
2772538000,0.3304764114,0.1520967892,
2778537000,0.3593943213,0.02650450106,
2784536000,0.3424818163,-0.1001054796,
2790535000,0.2814932674,-0.2121242541,
2796534000,0.1849743507,-0.2952312204,
2802533000,0.06514676798,-0.339092164,
2808532000,-0.06176881321,-0.3374231505,
2814531000,-0.1809535349,-0.2901698771,
2820530000,-0.2749920051,-0.2034180517,
2826529000,-0.3322614684,-0.08922582716,
2832528000,-0.3448729627,0.0381972883,
2838527000,-0.3125869403,0.1616306413,
2844526000,-0.2368309618,0.2662527749,
2850525000,-0.1294085378,0.3364753047,
2856524000,-0.004023677954,0.3643408577,
2862523000,0.1223297643,0.3451923181,
2868522000,0.2342519421,0.2820726061,
2874521000,0.315757947,0.1836140876,
2880520000,0.3566997078,0.06247949465,
2886519000,0.3515738314,-0.06547843136,
2892518000,0.3009950744,-0.1829520216,
2898517000,0.2122048512,-0.2742730856,
2904516000,0.09671938823,-0.3274304459,
2910515000,-0.02989253027,-0.3353887139,
2916514000,-0.150394211,-0.2975909488,
2922513000,-0.2490682827,-0.2179064678,
2928512000,-0.3122183994,-0.1103380782,
2934511000,-0.3323227718,0.01289991358,
2940510000,-0.3076054083,0.134435812,
2946509000,-0.2414021501,0.2384150508,
2952508000,-0.1434703729,0.3117461603,
2958507000,-0.02638942771,0.3453129922,
2964506000,0.09460495103,0.3350360081,
2970505000,0.2041028434,0.2831192969,
2976504000,0.2877717087,0.1958756482,
2982503000,0.3349750853,0.08466343477,
2988502000,0.3401631885,-0.03649196147,
2994501000,0.302013259,-0.1511968309,
3000500000,0.2259195881,-0.2456198828,
3006499000,0.1209642643,-0.3063375037,
3012498000,-0.0002621915865,-0.3256921008,
3018497000,-0.1195376065,-0.3006253996,
3024496000,-0.2218309546,-0.2343288749,
3030495000,-0.2945419848,-0.1351053676,
3036494000,-0.3257033728,-0.01812158169,
3042493000,-0.313092892,0.103175065,
3048492000,-0.2591815749,0.2103906878,
3054491000,-0.1701396208,0.2910559085,
3060490000,-0.05936609103,0.3344949666,
3066489000,0.05851123237,0.335428385,
3072488000,0.1687856985,0.2948829303,
3078487000,0.2561223489,0.2178527042,
3084486000,0.310954414,0.1150937803,
3090485000,0.3249819914,0.0002576453903,
3096484000,0.2972536981,-0.1116021467,
3102483000,0.2312924843,-0.2058490019,
3108482000,0.1358901064,-0.2698660649,
3114481000,0.02466287989,-0.2953211915,
3120480000,-0.08925811353,-0.27904023,
3126479000,-0.1875023483,-0.221196005,
3132478000,-0.2597981389,-0.1340951129,
3138477000,-0.2961166078,-0.02569539066,
3144476000,-0.2900428926,0.08756096,
3150475000,-0.2454646894,0.1910842075,
3156474000,-0.166701834,0.2719026107,
3162473000,-0.06475212371,0.3196084829,
3168472000,0.04701833956,0.3281155382,
3174471000,0.1547491531,0.2968842156,
3180470000,0.2455792747,0.2290915206,
3186469000,0.3063245086,0.1343556169,
3192468000,0.3296348196,0.02356799704,
3198467000,0.3123273391,-0.08861256163,
3204466000,0.2558035925,-0.1873558775,
3210465000,0.1671636579,-0.2594120427,
3216464000,0.05895542105,-0.294265074,
3222463000,-0.05565752249,-0.2871448028,
3228462000,-0.158417288,-0.2395690252,
3234461000,-0.2376710966,-0.1574764885,
3240460000,-0.2815572725,-0.05379233177,
3246459000,-0.2846331737,0.05830842118,
3252458000,-0.2471174431,0.1630561517,
3258457000,-0.1753701177,0.2470006004,
3264456000,-0.07990953616,0.2996389546,
3270455000,0.02781536979,0.3152811449,
3276454000,0.1340210629,0.2921579541,
3282453000,0.225196382,0.2344096694,
3288452000,0.2911962131,0.147439323,
3294451000,0.3230277795,0.04313737925,
3300450000,0.3160531951,-0.06652212296,
3306449000,0.270619299,-0.1679729373,
3312448000,0.1917383469,-0.2467766653,
3318447000,0.08902991036,-0.2937003097,
3324446000,-0.02494949228,-0.2999969997,
3330445000,-0.1345814443,-0.2646637809,
